,Text,Sentiment,Date/Time,Location,Confidence Score,length,clean_text
0,I love this product!,Positive,2023-06-15 09:23:14,New York,0.85,20,"['love', 'product']"
1,The service was terrible.,Negative,2023-06-15 11:45:32,Los Angeles,0.65,25,"['service', 'terrible']"
2,This movie is amazing!,Positive,2023-06-15 14:10:22,London,0.92,22,"['movie', 'amazing']"
3,I'm so disappointed with their customer support.,Negative,2023-06-15 17:35:11,Toronto,0.78,48,"['Im', 'disappointed', 'customer', 'support']"
4,Just had the best meal of my life!,Positive,2023-06-16 08:50:59,Paris,0.88,34,"['best', 'meal', 'life']"
5,The quality of this product is subpar.,Negative,2023-06-16 10:15:27,San Francisco,0.72,38,"['quality', 'product', 'subpar']"
6,I can't stop listening to this song. It's incredible!,Positive,2023-06-16 13:40:18,Berlin,0.91,53,"['cant', 'stop', 'listening', 'song', 'incredible']"
7,Their website is so user-friendly. Love it!,Positive,2023-06-16 16:05:36,Sydney,0.87,43,"['website', 'userfriendly', 'Love']"
8,I loved the movie! It was fantastic!,Positive,2023-07-02 09:12:34,New York,0.92,36,"['loved', 'movie', 'fantastic']"
9,The customer service was terrible.,Negative,2023-07-02 10:45:21,Los Angeles,0.65,34,"['customer', 'service', 'terrible']"
10,This book made me feel inspired. Highly recommended!,Positive,2023-07-02 12:34:56,London,0.88,52,"['book', 'made', 'feel', 'inspired', 'Highly', 'recommended']"
11,I'm extremely disappointed with their product quality.,Negative,2023-07-02 15:21:43,San Francisco,0.72,54,"['Im', 'extremely', 'disappointed', 'product', 'quality']"
12,Just had the most amazing vacation! I can't wait to go back.,Positive,2023-07-02 18:01:23,Sydney,0.93,60,"['amazing', 'vacation', 'cant', 'wait', 'go', 'back']"
13,The food at this restaurant was awful. Never going back again!,Negative,2023-07-02 20:45:37,Mumbai,0.55,62,"['food', 'restaurant', 'awful', 'Never', 'going', 'back']"
14,I can't stop listening to this song. It's my new favorite!,Positive,2023-07-03 09:17:52,Berlin,0.91,58,"['cant', 'stop', 'listening', 'song', 'new', 'favorite']"
15,Their website is so confusing and poorly designed.,Negative,2023-07-03 11:59:18,Toronto,0.68,50,"['website', 'confusing', 'poorly', 'designed']"
16,I had an incredible experience at the theme park. So much fun!,Positive,2023-07-03 14:40:05,Orlando,0.89,62,"['incredible', 'experience', 'theme', 'park', 'much', 'fun']"
17,The product arrived damaged. Very disappointed.,Negative,2023-07-03 17:25:09,Chicago,0.76,47,"['product', 'arrived', 'damaged', 'disappointed']"
18,The concert was absolutely breathtaking. Best performance ever!,Positive,2023-07-03 20:15:33,Paris,0.95,63,"['concert', 'absolutely', 'breathtaking', 'Best', 'performance', 'ever']"
19,I had a terrible experience with their customer support.,Negative,2023-07-04 08:32:41,Sydney,0.61,56,"['terrible', 'experience', 'customer', 'support']"
20,This movie is a masterpiece! I was blown away.,Positive,2023-07-04 14:05:27,Los Angeles,0.93,46,"['movie', 'masterpiece', 'blown', 'away']"
21,The customer service at this store is top-notch.,Positive,2023-07-04 16:35:19,New York,0.82,48,"['customer', 'service', 'store', 'topnotch']"
22,I'm disappointed with the ending of this book. It fell flat.,Negative,2023-07-04 19:18:53,London,0.68,60,"['Im', 'disappointed', 'ending', 'book', 'fell', 'flat']"
23,The product I received was damaged. Unacceptable.,Negative,2023-07-04 21:52:41,San Francisco,0.75,49,"['product', 'received', 'damaged', 'Unacceptable']"
24,Just had the worst flight experience. Delayed and rude staff.,Negative,2023-07-05 09:10:15,Sydney,0.57,61,"['worst', 'flight', 'experience', 'Delayed', 'rude', 'staff']"
25,The hotel stay was absolutely amazing! Luxury at its finest.,Positive,2023-07-05 12:30:08,Paris,0.95,60,"['hotel', 'stay', 'absolutely', 'amazing', 'Luxury', 'finest']"
26,The food at this restaurant was outstanding. Highly recommended!,Positive,2023-07-05 15:45:32,Mumbai,0.89,64,"['food', 'restaurant', 'outstanding', 'Highly', 'recommended']"
27,This playlist is my go-to for workouts. Energizing and motivating!,Positive,2023-07-05 18:20:17,Berlin,0.91,66,"['playlist', 'goto', 'workouts', 'Energizing', 'motivating']"
28,I had a frustrating experience navigating through their website.,Negative,2023-07-05 21:05:44,Toronto,0.67,64,"['frustrating', 'experience', 'navigating', 'website']"
29,The roller coaster ride was thrilling! Heart-pounding excitement!,Positive,2023-07-06 08:48:39,Orlando,0.92,65,"['roller', 'coaster', 'ride', 'thrilling', 'Heartpounding', 'excitement']"
30,The product I ordered never arrived. Terrible service.,Negative,2023-07-06 11:25:56,Chicago,0.64,54,"['product', 'ordered', 'never', 'arrived', 'Terrible', 'service']"
31,I can't get enough of this band. Their music is incredible!,Positive,2023-07-06 14:15:23,London,0.94,59,"['cant', 'get', 'enough', 'band', 'music', 'incredible']"
32,I had a great chat with their customer support. Helpful and friendly.,Positive,2023-07-06 17:02:11,Sydney,0.85,69,"['great', 'chat', 'customer', 'support', 'Helpful', 'friendly']"
33,This restaurant has the most delicious food. I can't wait to go back!,Positive,2023-07-09 09:12:54,Paris,0.94,69,"['restaurant', 'delicious', 'food', 'cant', 'wait', 'go', 'back']"
34,The product I purchased broke within a week. Poor quality.,Negative,2023-07-09 11:45:32,Los Angeles,0.61,58,"['product', 'purchased', 'broke', 'within', 'week', 'Poor', 'quality']"
35,This book is thought-provoking and beautifully written. Highly recommended!,Positive,2023-07-09 14:23:18,London,0.89,75,"['book', 'thoughtprovoking', 'beautifully', 'written', 'Highly', 'recommended']"
36,The customer service at this store is exceptional. They went above and beyond.,Positive,2023-07-09 17:05:46,New York,0.87,78,"['customer', 'service', 'store', 'exceptional', 'went', 'beyond']"
37,I had a terrible experience with their technical support. No resolution.,Negative,2023-07-09 19:40:27,San Francisco,0.63,72,"['terrible', 'experience', 'technical', 'support', 'resolution']"
38,The live concert was electrifying! The band's energy was contagious.,Positive,2023-07-10 08:50:13,Sydney,0.92,68,"['live', 'concert', 'electrifying', 'bands', 'energy', 'contagious']"
39,I'm disappointed with the food at this restaurant. It was tasteless.,Negative,2023-07-10 11:32:59,Mumbai,0.68,68,"['Im', 'disappointed', 'food', 'restaurant', 'tasteless']"
40,This song always puts me in a good mood. It's my go-to feel-good track!,Positive,2023-07-10 14:20:05,Berlin,0.93,71,"['song', 'always', 'puts', 'good', 'mood', 'goto', 'feelgood', 'track']"
41,The website is slow and unresponsive. Difficult to navigate.,Negative,2023-07-10 17:15:22,Toronto,0.65,60,"['website', 'slow', 'unresponsive', 'Difficult', 'navigate']"
42,The roller coaster ride was exhilarating! Pure adrenaline rush!,Positive,2023-07-10 20:02:37,Orlando,0.95,63,"['roller', 'coaster', 'ride', 'exhilarating', 'Pure', 'adrenaline', 'rush']"
43,The product I ordered arrived damaged. Very disappointed with the packaging.,Negative,2023-07-11 08:40:51,Chicago,0.67,76,"['product', 'ordered', 'arrived', 'damaged', 'disappointed', 'packaging']"
44,I'm captivated by this band's unique sound. They're a breath of fresh air!,Positive,2023-07-11 11:22:17,London,0.94,74,"['Im', 'captivated', 'bands', 'unique', 'sound', 'Theyre', 'breath', 'fresh', 'air']"
45,The customer support was quick to respond and resolved my issue. Impressed!,Positive,2023-07-11 14:18:42,Sydney,0.85,75,"['customer', 'support', 'quick', 'respond', 'resolved', 'issue', 'Impressed']"
46,This restaurant has the best food. I highly recommend it!,Positive,2023-07-11 17:30:15,Los Angeles,0.9,57,"['restaurant', 'best', 'food', 'highly', 'recommend']"
47,The plot of this movie is confusing and hard to follow.,Negative,2023-07-11 20:15:42,London,0.62,55,"['plot', 'movie', 'confusing', 'hard', 'follow']"
48,I'm addicted to this game. It's so much fun!,Positive,2023-07-12 09:05:59,New York,0.88,44,"['Im', 'addicted', 'game', 'much', 'fun']"
49,The customer service at this hotel was terrible. Avoid at all costs.,Negative,2023-07-12 11:45:27,Paris,0.57,68,"['customer', 'service', 'hotel', 'terrible', 'Avoid', 'costs']"
50,This book bored me to tears. I couldn't finish it.,Negative,2023-07-12 14:30:18,San Francisco,0.68,50,"['book', 'bored', 'tears', 'couldnt', 'finish']"
51,I'm impressed with the sound quality of these headphones. Excellent!,Positive,2023-07-12 17:10:36,Berlin,0.92,68,"['Im', 'impressed', 'sound', 'quality', 'headphones', 'Excellent']"
52,The website design is sleek and user-friendly. Easy to navigate.,Positive,2023-07-13 08:50:59,Sydney,0.87,64,"['website', 'design', 'sleek', 'userfriendly', 'Easy', 'navigate']"
53,I had a terrible experience with their delivery service. Late and unprofessional.,Negative,2023-07-13 11:25:27,Chicago,0.64,81,"['terrible', 'experience', 'delivery', 'service', 'Late', 'unprofessional']"
54,The concert was mind-blowing! The band knows how to put on a show.,Positive,2023-07-13 14:05:42,Paris,0.95,66,"['concert', 'mindblowing', 'band', 'knows', 'put', 'show']"
55,I'm extremely disappointed with the customer support. No resolution.,Negative,2023-07-13 16:35:19,Toronto,0.61,68,"['Im', 'extremely', 'disappointed', 'customer', 'support', 'resolution']"
56,The hotel staff were rude and unprofessional. Terrible customer service.,Negative,2023-07-17 08:50:13,Paris,0.55,72,"['hotel', 'staff', 'rude', 'unprofessional', 'Terrible', 'customer', 'service']"
57,The food at this restaurant was mediocre. Nothing special.,Negative,2023-07-17 11:32:59,Mumbai,0.65,58,"['food', 'restaurant', 'mediocre', 'Nothing', 'special']"
58,This song always puts me in a nostalgic mood. It reminds me of good times.,Positive,2023-07-17 14:20:05,Berlin,0.88,74,"['song', 'always', 'puts', 'nostalgic', 'mood', 'reminds', 'good', 'times']"
